date,n1,n2,n3,n4,n5,j,weekd,avg,idx
2018-11-29,39,37,43,44,2,5,Thursday,33.0,309
2018-12-02,17,4,37,16,27,2,Sunday,20.2,310
2018-12-02,17,27,26,23,30,15,Sunday,24.6,311
2018-12-06,37,36,18,39,7,3,Thursday,27.4,312
2018-12-09,38,14,37,12,19,20,Sunday,24.0,313
2018-12-13,32,6,25,24,42,6,Thursday,25.8,314
2018-12-16,43,31,22,9,23,7,Sunday,25.6,315
2018-12-20,18,45,21,20,37,15,Thursday,28.2,316
2018-12-23,45,2,21,3,10,20,Sunday,16.2,317
2018-12-31,39,4,13,32,20,3,Monday,21.6,318
2019-01-06,8,20,42,38,22,17,Sunday,26.0,319
2019-01-10,18,38,43,45,11,2,Thursday,31.0,320
2019-01-13,29,44,27,6,40,19,Sunday,29.2,321
2019-01-17,39,3,32,27,30,3,Thursday,26.2,322
2019-01-20,11,33,10,6,12,3,Sunday,14.4,323
2019-01-24,36,13,45,31,12,14,Thursday,27.4,324
2019-01-27,17,3,7,28,38,15,Sunday,18.6,325
2019-01-31,25,6,43,5,2,4,Thursday,16.2,326
2019-02-03,21,22,14,7,43,19,Sunday,21.4,327
2019-02-07,1,41,5,2,22,6,Thursday,14.2,328
2019-02-10,44,30,17,3,24,6,Sunday,23.6,329
2019-02-14,43,3,41,27,15,19,Thursday,25.8,330
2019-02-17,4,3,13,43,11,16,Sunday,14.8,331
2019-02-21,1,37,13,23,5,2,Thursday,15.8,332
2019-02-24,30,6,27,13,20,11,Sunday,19.2,333
2019-02-28,29,3,39,14,33,6,Thursday,23.6,334
2019-03-03,42,18,33,12,34,4,Sunday,27.8,335
2019-03-07,18,15,40,13,3,6,Thursday,17.8,336
2019-03-10,16,27,22,6,43,4,Sunday,22.8,337
2019-03-14,28,39,33,1,45,8,Thursday,29.2,338
2019-03-17,9,14,12,10,4,7,Sunday,9.8,339
2019-03-21,35,29,11,14,4,6,Thursday,18.6,340
2019-03-24,13,4,22,35,39,4,Sunday,22.6,341
2019-03-28,26,10,15,16,14,18,Thursday,16.2,342
2019-03-31,40,21,16,18,17,2,Sunday,22.4,343
2019-04-04,21,5,24,16,13,8,Thursday,15.8,344
2019-04-07,29,21,34,1,39,2,Sunday,24.8,345
2019-04-11,17,37,27,4,35,3,Thursday,24.0,346
2019-04-14,40,13,39,34,25,10,Sunday,30.2,347
2019-04-18,14,33,26,9,28,5,Thursday,22.0,348
2019-04-21,16,13,33,44,39,8,Sunday,29.0,349
2019-04-27,5,6,15,25,33,12,Saturday,16.8,350
2019-04-27,22,6,21,5,45,3,Saturday,19.8,351
2019-05-02,40,3,16,1,37,18,Thursday,19.4,352
2019-05-05,14,5,11,25,18,18,Sunday,14.6,353
2019-05-09,26,17,1,8,33,17,Thursday,17.0,354
2019-05-12,7,4,42,27,19,12,Sunday,19.8,355
